population,parity_bar,n,r,crossover
ACS Alabama,0.01,11,-0.3680785712548463,
ACS Alabama,0.02,11,-0.3680785712548463,
ACS Alabama,0.05,11,-0.3680785712548463,
ACS Alabama,0.1,9,0.29601257785330787,
ACS Kentucky,0.01,11,-0.5895326473275585,
ACS Kentucky,0.02,11,-0.5895326473275585,
ACS Kentucky,0.05,10,-0.6540361146388144,
ACS Kentucky,0.1,0,,
ACS S. Carolina,0.01,12,0.012279962930509102,
ACS S. Carolina,0.02,12,0.012279962930509102,
ACS S. Carolina,0.05,11,0.9047310539337594,0.5295150053590568
ACS S. Carolina,0.1,3,0.8488262665693419,
ACS Oregon,0.01,11,0.09517443002939374,
ACS Oregon,0.02,11,0.09517443002939374,
ACS Oregon,0.05,10,0.6640750936356594,0.5581660583941606
ACS Oregon,0.1,0,,
Dutch census,0.01,12,0.8509321096838683,
Dutch census,0.02,11,0.908443623951102,0.5759185700099305
Dutch census,0.05,9,0.9460424717132553,0.5759185700099305
Dutch census,0.1,7,0.9379752750363637,0.5759185700099305
COMPAS,0.01,12,0.8443400485450556,0.5114267676767676
COMPAS,0.02,12,0.8443400485450556,0.5114267676767676
COMPAS,0.05,12,0.8443400485450556,0.5114267676767676
COMPAS,0.1,11,0.8709614523333761,0.5114267676767676
