claim,r,lo,hi,clusters,rows
docs/27 selection rate vs zeta separation,0.9354111410175784,0.8581024743844543,0.9840024659153137,15,26
docs/23 selection rate vs pie change,0.7269541115684568,0.5877058599912338,0.8208335764914664,15,26
docs/26 held-out rbar vs lambda-p,0.9008185285988755,0.7517986883359513,0.9740778258703509,4,14
docs/11 cross-flow vs error,0.884699714977407,0.8076680080679972,0.9746485033117223,10,10
