population,crossover,ci_low,ci_high,located_in,n_seeds
ACS Alabama,,,,0.0,5
ACS Kentucky,,,,0.0,5
ACS S. Carolina,0.5295150053590568,0.5262191854233654,0.532636655948553,0.9855,5
ACS Oregon,0.5581660583941606,0.5561131386861313,0.5596563260340632,0.7735,5
Dutch census,0.5759185700099305,0.5722277391592188,0.5795652653646695,1.0,5
COMPAS,0.5114267676767676,0.43410669191919193,0.5239109848484849,0.8275,12
