seed,method,accuracy,dp_diff,eo_diff,baseline_accuracy,baseline_dp_diff,baseline_eo_diff,n_priv,n_unpriv,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change
0,expgrad_dp,0.7927723022491787,0.012347744954467832,0.10472579456581171,0.804902704068739,0.09400187422269321,0.022446612904086324,1996,1961,0.08165412926822538,0.053607214428857713,0.028046914839367665,0.656515658292841,mixed,0.11662744352263449,0.7335665998573224,mixed,133,26,39,94,7.965931863727455,6.782253952065273,0.5859030837004405,1.4333333333333333,-52.0,0.07379327773565833,0.020722769775082132,0.28082191780821913,-52,-6.540880503144654
0,expgrad_eo,0.8036391205458681,0.06928287988521664,0.028910230505305057,0.804902704068739,0.09400187422269321,0.022446612904086324,1996,1961,0.02471899433747657,0.015030060120240468,0.0096889342172361,0.6080368770283398,mixed,0.04081187946212783,0.5154839335986796,mixed,42,12,9,28,2.7054108216432864,1.8867924528301887,0.6,1.275,-11.0,0.022997220116249686,0.003032600454890068,0.13186813186813184,-11,-1.3836477987421383
0,gridsearch_dp,0.7945413191811979,0.00023095655870641885,0.12584290140331694,0.804902704068739,0.09400187422269321,0.022446612904086324,1996,1961,0.09423283078139963,0.06312625250501003,0.0311065782763896,0.6698965952901242,mixed,0.13774455036013972,0.6923807058417464,mixed,153,27,43,104,9.01803607214429,7.496175420703723,0.5953307392996109,1.4961832061068703,-65.0,0.08263836239575435,0.0,0.0,-65,-8.176100628930818
0,prejudice_remover,0.7973212029315138,0.03437394932649593,0.0922615510178208,0.804902704068739,0.09400187422269321,0.022446612904086324,1996,1961,0.05962792489619728,0.03056112224448898,0.0290668026517083,0.5125303672346644,mixed,0.10416319997464357,0.48472861435472187,mixed,90,29,25,82,5.961923847695391,5.4563997960224375,0.5232558139534884,1.0360360360360361,-4.0,0.05711397523376295,0.0,0.0,-4,-0.5031446540880503
0,adversarial_debiasing,0.8001010866818297,0.041441373312663066,0.06093057899699683,0.804902704068739,0.09400187422269321,0.022446612904086324,1996,1961,0.052560500910030145,0.05511022044088176,-0.0025497195308516185,1.0485101832498909,levelling down,0.0728322279538196,1.1939291736930868,levelling down,130,20,56,51,7.515030060120241,5.4563997960224375,0.7182320441988951,2.619718309859155,-115.0,0.0649481930755623,0.0,0.0,-115,-14.465408805031446
1,expgrad_dp,0.7912560020217336,0.018449188024187074,0.11031608307382668,0.7993429365681072,0.1042901713677227,0.036061520907124334,1996,1961,0.08584098334353563,0.047595190380761515,0.03824579296277411,0.5544576556198751,mixed,0.146377603980951,0.4982406755805771,mixed,116,21,24,99,6.86372745490982,6.272310045894952,0.5395348837209303,1.1666666666666667,-20.0,0.06570634318928481,0.023249936820823856,0.35384615384615387,-20,-2.6490066225165565
1,expgrad_eo,0.7988375031589589,0.08306924915613992,0.021038606913149363,0.7993429365681072,0.1042901713677227,0.036061520907124334,1996,1961,0.021220922211582782,0.011022044088176336,0.010198878123406446,0.5193951506103865,mixed,0.04507888210077576,0.3733520829671294,mixed,33,11,11,31,2.2044088176352705,2.141764405915349,0.515625,1.0476190476190477,-2.0,0.021733636593378822,0.02021733636593379,0.9302325581395349,-2,-0.26490066225165565
1,gridsearch_dp,0.7920141521354561,0.007874494527044917,0.1398879565138152,0.7993429365681072,0.1042901713677227,0.036061520907124334,1996,1961,0.09641567684067778,0.05511022044088176,0.04130545639979602,0.5715898311013127,mixed,0.17594947742093953,0.4862418374240037,mixed,136,26,35,116,8.11623246492986,7.700152983171851,0.5396825396825397,1.204225352112676,-29.0,0.07910032853171595,0.0,0.0,-29,-3.8410596026490067
1,prejudice_remover,0.7998483699772555,0.04055586951567591,0.09925436407001531,0.7993429365681072,0.1042901713677227,0.036061520907124334,1996,1961,0.06373430185204679,0.02905811623246493,0.034676185619581856,0.4559258576319017,mixed,0.13531588497713964,0.2902149089418516,mixed,72,14,26,94,4.3086172344689375,6.119326874043855,0.43373493975903615,0.9074074074074074,10.0,0.052059641142279504,0.0,0.0,10,1.3245033112582782
1,adversarial_debiasing,0.7965630528177913,0.05048623509129427,0.05810572023993471,0.7993429365681072,0.1042901713677227,0.036061520907124334,1996,1961,0.05380393627642843,0.04258517034068135,0.011218765935747083,0.7914880079013469,levelling down,0.09416724114705904,0.7000168293503869,mixed,110,25,47,69,6.763527054108216,5.915349311575727,0.6145251396648045,1.6702127659574468,-63.0,0.06343189284811726,0.0,0.0,-63,-8.344370860927153
