method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.0863,0.0508,0.0355,0.5901,0.5549,1.2667,-4.1078
expgrad_eo,0.0248,0.0122,0.0126,0.4994,0.508,1.0142,0.0863
gridsearch_dp,0.0976,0.0579,0.0396,0.5955,0.5539,1.284,-4.914
prejudice_remover,0.0609,0.0276,0.0333,0.4525,0.4612,0.9061,1.4091
adversarial_debiasing,0.0507,0.0459,0.0048,0.9057,0.6689,2.1599,-10.7368
