population,arm,route,rate,gap,accuracy,gained_per_lost,dpool,seeds,w_p,base_u,trivial,r_unpriv,reservoir,clears_bar,direction
acs_income_sc_2018,op047,op,0.281217,0.100811,0.796865,0.822607,-2.965598,5,0.507014,0.229841,0.692914,0.230104,-0.000263,True,down
acs_income_sc_2018,op049,op,0.264496,0.097525,0.796543,0.791396,-3.77312,5,0.507014,0.229841,0.692914,0.21505,0.014791,True,down
acs_income_sc_2018,op0525,op,0.235423,0.092493,0.795766,0.817699,-3.645355,5,0.507014,0.229841,0.692914,0.188528,0.041313,True,down
acs_income_sc_2018,op0585,op,0.188103,0.085021,0.786549,0.831622,-3.883089,5,0.507014,0.229841,0.692914,0.144996,0.084845,True,down
acs_income_sc_2018,op065,op,0.143328,0.076353,0.775375,0.850384,-3.341198,5,0.507014,0.229841,0.692914,0.104616,0.125225,True,down
acs_income_sc_2018,op072,op,0.099652,0.06492,0.755761,0.827419,-4.595021,5,0.507014,0.229841,0.692914,0.066736,0.163105,True,down
acs_income_sc_2018,op0815,op,0.049384,0.043675,0.727519,1.614961,8.728248,20,0.507014,0.229841,0.692914,0.02724,0.202601,True,up
acs_income_sc_2018,op087,op,0.026608,0.02504,0.71112,1.339726,14.311498,5,0.507014,0.229841,0.692914,0.013912,0.215929,True,up
compas_2016_race,op065,op,0.293981,0.239039,0.621528,0.153533,-72.627857,12,0.398446,0.47685,0.529557,0.198737,0.278113,True,down
compas_2016_race,op067,op,0.258081,0.22377,0.612121,0.266596,-60.680958,5,0.398446,0.47685,0.529557,0.168921,0.30793,True,down
compas_2016_race,op072,op,0.173737,0.189054,0.572475,0.114776,-75.635746,5,0.398446,0.47685,0.529557,0.098409,0.378441,True,down
compas_2016_race,op075,op,0.132576,0.157374,0.550253,0.108844,-74.47859,5,0.398446,0.47685,0.529557,0.069871,0.40698,True,down
compas_2016_race,op0775,op,0.092551,0.122751,0.529924,0.0,-87.118723,5,0.398446,0.47685,0.529557,0.043641,0.43321,True,down
dutch_2001_sex,op08,op,0.297253,0.15859,0.768697,0.421233,-27.039698,5,0.498957,0.327123,0.523949,0.218123,0.109,True,down
dutch_2001_sex,op0865,op,0.2159,0.135938,0.71259,0.409418,-24.119772,5,0.498957,0.327123,0.523949,0.148072,0.179051,True,down
dutch_2001_sex,op0915,op,0.139788,0.072814,0.652808,0.154843,-45.860542,5,0.498957,0.327123,0.523949,0.103457,0.223666,True,down
dutch_2001_sex,op093,op,0.118173,0.058534,0.634481,0.181883,-35.986726,5,0.498957,0.327123,0.523949,0.088967,0.238156,True,down
dutch_2001_sex,op0965,op,0.050061,0.035585,0.571797,0.18439,-27.754908,5,0.498957,0.327123,0.523949,0.032305,0.294818,True,down
lawschool_race,op099,op,0.232724,0.190415,0.340481,0.005675,-88.758332,5,0.840994,0.723012,0.889749,0.072587,0.650425,False,down
lawschool_race,op0995,op,0.125064,0.110109,0.234103,0.00305,-87.43301,5,0.840994,0.723012,0.889749,0.032463,0.690549,False,down
acs_income_mo_2018_t100000,cutoff,cutoff,0.026,0.024096,0.922484,0.088757,-16.483333,5,0.517559,0.046478,0.915709,0.013529,0.032949,True,down
acs_income_az_2018_t100000,cutoff,cutoff,0.036939,0.032213,0.904968,0.092545,-23.342772,5,0.52664,0.06196,0.896265,0.019975,0.041986,True,down
acs_income_in_2018_t70000,cutoff,cutoff,0.081298,0.07263,0.859218,0.402174,-23.321066,5,0.524356,0.090887,0.833505,0.043214,0.047673,True,down
acs_income_ne_2018_t100000,cutoff,cutoff,0.014153,0.016648,0.934549,0.0,-6.349391,5,0.527677,0.035336,0.930274,0.005369,0.029967,True,down
acs_income_wa_2018_t70000,cutoff,cutoff,0.232543,0.105042,0.803054,0.755292,-5.522446,5,0.531068,0.201911,0.709343,0.176759,0.025153,True,down
