seed,lottery_rate,lottery_gap,lottery_accuracy,found
0,0.012858,0.01896,0.479805,False
1,0.011188,0.013949,0.47805,False
2,0.014139,0.018403,0.479304,False
3,0.012494,0.018703,0.478099,False
4,0.012114,0.014327,0.478668,False
