arm,direction,seed,decile,group,n,base_grant,mitigated_grant,moved
acs:OR@0.87,lift,3,7,unpriv,291,0.0,0.017715,0.017715
acs:OR@0.87,lift,3,8,priv,392,0.0,0.009863,0.009863
acs:OR@0.87,lift,3,8,unpriv,266,0.0,0.044815,0.044815
acs:OR@0.87,lift,3,9,priv,432,0.5,0.470991,-0.029009
acs:OR@0.87,lift,3,9,unpriv,225,0.435556,0.460196,0.02464
acs:OR@0.87,lift,4,0,priv,305,0.0,0.0,0.0
acs:OR@0.87,lift,4,0,unpriv,353,0.0,0.0,0.0
acs:OR@0.87,lift,4,1,priv,322,0.0,0.0,0.0
acs:OR@0.87,lift,4,1,unpriv,336,0.0,0.0,0.0
acs:OR@0.87,lift,4,2,priv,326,0.0,0.0,0.0
acs:OR@0.87,lift,4,2,unpriv,331,0.0,0.0,0.0
acs:OR@0.87,lift,4,3,priv,301,0.0,0.0,0.0
acs:OR@0.87,lift,4,3,unpriv,357,0.0,0.000291,0.000291
acs:OR@0.87,lift,4,4,priv,335,0.0,0.0,0.0
acs:OR@0.87,lift,4,4,unpriv,322,0.0,0.002259,0.002259
acs:OR@0.87,lift,4,5,priv,350,0.0,0.0,0.0
acs:OR@0.87,lift,4,5,unpriv,308,0.0,0.004049,0.004049
acs:OR@0.87,lift,4,6,priv,349,0.0,0.000596,0.000596
acs:OR@0.87,lift,4,6,unpriv,309,0.0,0.003363,0.003363
acs:OR@0.87,lift,4,7,priv,363,0.0,0.001431,0.001431
acs:OR@0.87,lift,4,7,unpriv,294,0.0,0.00707,0.00707
acs:OR@0.87,lift,4,8,priv,363,0.0,0.003722,0.003722
acs:OR@0.87,lift,4,8,unpriv,295,0.0,0.024307,0.024307
acs:OR@0.87,lift,4,9,priv,422,0.523697,0.474329,-0.049368
acs:OR@0.87,lift,4,9,unpriv,235,0.438298,0.460517,0.022219
dutch@0.965,cut,0,0,priv,792,0.0,0.0,0.0
dutch@0.965,cut,0,0,unpriv,1021,0.0,0.007988,0.007988
dutch@0.965,cut,0,1,priv,660,0.0,0.000515,0.000515
dutch@0.965,cut,0,1,unpriv,1153,0.0,0.005305,0.005305
dutch@0.965,cut,0,2,priv,657,0.0,0.000517,0.000517
dutch@0.965,cut,0,2,unpriv,1155,0.0,0.006179,0.006179
dutch@0.965,cut,0,3,priv,691,0.0,0.0,0.0
dutch@0.965,cut,0,3,unpriv,1122,0.0,0.000303,0.000303
dutch@0.965,cut,0,4,priv,785,0.0,0.0,0.0
dutch@0.965,cut,0,4,unpriv,1027,0.0,0.000662,0.000662
dutch@0.965,cut,0,5,priv,1109,0.0,0.000306,0.000306
dutch@0.965,cut,0,5,unpriv,704,0.0,0.0,0.0
dutch@0.965,cut,0,6,priv,941,0.0,0.0,0.0
dutch@0.965,cut,0,6,unpriv,872,0.0,0.0,0.0
dutch@0.965,cut,0,7,priv,1032,0.0,0.0,0.0
dutch@0.965,cut,0,7,unpriv,780,0.0,0.0,0.0
dutch@0.965,cut,0,8,priv,1247,0.0,0.000273,0.000273
dutch@0.965,cut,0,8,unpriv,566,0.0,0.0,0.0
dutch@0.965,cut,0,9,priv,1130,0.547788,0.361639,-0.186149
dutch@0.965,cut,0,9,unpriv,682,0.43695,0.300082,-0.136868
dutch@0.965,cut,1,0,priv,782,0.0,0.0,0.0
dutch@0.965,cut,1,0,unpriv,1031,0.0,0.004939,0.004939
dutch@0.965,cut,1,1,priv,657,0.0,0.0,0.0
dutch@0.965,cut,1,1,unpriv,1156,0.0,0.006755,0.006755
dutch@0.965,cut,1,2,priv,601,0.0,0.0,0.0
dutch@0.965,cut,1,2,unpriv,1211,0.0,0.004766,0.004766
dutch@0.965,cut,1,3,priv,696,0.0,0.0,0.0
dutch@0.965,cut,1,3,unpriv,1117,0.0,0.0,0.0
dutch@0.965,cut,1,4,priv,834,0.0,0.0,0.0
dutch@0.965,cut,1,4,unpriv,978,0.0,0.000347,0.000347
dutch@0.965,cut,1,5,priv,1098,0.0,0.0,0.0
dutch@0.965,cut,1,5,unpriv,715,0.0,0.000475,0.000475
dutch@0.965,cut,1,6,priv,949,0.0,0.0,0.0
dutch@0.965,cut,1,6,unpriv,864,0.0,0.0,0.0
dutch@0.965,cut,1,7,priv,1062,0.0,0.0,0.0
dutch@0.965,cut,1,7,unpriv,750,0.0,0.0,0.0
dutch@0.965,cut,1,8,priv,1227,0.0,0.0,0.0
dutch@0.965,cut,1,8,unpriv,586,0.0,0.0,0.0
dutch@0.965,cut,1,9,priv,1138,0.449912,0.29775,-0.152162
dutch@0.965,cut,1,9,unpriv,674,0.369436,0.248915,-0.120521
dutch@0.965,cut,2,0,priv,798,0.0,0.0,0.0
dutch@0.965,cut,2,0,unpriv,1015,0.0,0.009173,0.009173
dutch@0.965,cut,2,1,priv,686,0.0,0.001005,0.001005
dutch@0.965,cut,2,1,unpriv,1127,0.0,0.007038,0.007038
dutch@0.965,cut,2,2,priv,602,0.0,0.000573,0.000573
dutch@0.965,cut,2,2,unpriv,1210,0.0,0.007695,0.007695
dutch@0.965,cut,2,3,priv,679,0.0,0.0,0.0
dutch@0.965,cut,2,3,unpriv,1134,0.0,0.0,0.0
dutch@0.965,cut,2,4,priv,822,0.0,0.0,0.0
dutch@0.965,cut,2,4,unpriv,990,0.0,0.000697,0.000697
dutch@0.965,cut,2,5,priv,1087,0.0,0.0,0.0
dutch@0.965,cut,2,5,unpriv,726,0.0,0.0,0.0
dutch@0.965,cut,2,6,priv,936,0.0,0.0,0.0
dutch@0.965,cut,2,6,unpriv,877,0.0,0.0,0.0
dutch@0.965,cut,2,7,priv,1062,0.0,0.0,0.0
dutch@0.965,cut,2,7,unpriv,750,0.0,0.0,0.0
dutch@0.965,cut,2,8,priv,1262,0.0,0.000273,0.000273
dutch@0.965,cut,2,8,unpriv,551,0.0,0.0,0.0
dutch@0.965,cut,2,9,priv,1110,0.581081,0.378931,-0.20215
dutch@0.965,cut,2,9,unpriv,702,0.452991,0.301448,-0.151543
dutch@0.965,cut,3,0,priv,786,0.0,0.0,0.0
dutch@0.965,cut,3,0,unpriv,1027,0.0,0.009266,0.009266
dutch@0.965,cut,3,1,priv,692,0.0,0.000474,0.000474
dutch@0.965,cut,3,1,unpriv,1121,0.0,0.004976,0.004976
dutch@0.965,cut,3,2,priv,618,0.0,0.000531,0.000531
dutch@0.965,cut,3,2,unpriv,1194,0.0,0.005496,0.005496
dutch@0.965,cut,3,3,priv,676,0.0,0.0,0.0
dutch@0.965,cut,3,3,unpriv,1137,0.0,0.0,0.0
dutch@0.965,cut,3,4,priv,845,0.0,0.0,0.0
dutch@0.965,cut,3,4,unpriv,967,0.0,0.000339,0.000339
dutch@0.965,cut,3,5,priv,1074,0.0,0.0,0.0
dutch@0.965,cut,3,5,unpriv,739,0.0,0.0,0.0
dutch@0.965,cut,3,6,priv,937,0.0,0.0,0.0
dutch@0.965,cut,3,6,unpriv,876,0.0,0.000375,0.000375
dutch@0.965,cut,3,7,priv,1038,0.0,0.0,0.0
dutch@0.965,cut,3,7,unpriv,774,0.0,0.0,0.0
dutch@0.965,cut,3,8,priv,1242,0.0,0.0,0.0
dutch@0.965,cut,3,8,unpriv,571,0.0,0.0,0.0
dutch@0.965,cut,3,9,priv,1136,0.571303,0.379108,-0.192195
dutch@0.965,cut,3,9,unpriv,676,0.43787,0.29916,-0.13871
dutch@0.965,cut,4,0,priv,768,0.0,0.0,0.0
dutch@0.965,cut,4,0,unpriv,1045,0.0,0.005782,0.005782
dutch@0.965,cut,4,1,priv,658,0.0,0.00054,0.00054
dutch@0.965,cut,4,1,unpriv,1155,0.0,0.007693,0.007693
dutch@0.965,cut,4,2,priv,629,0.0,0.0,0.0
dutch@0.965,cut,4,2,unpriv,1183,0.0,0.005408,0.005408
dutch@0.965,cut,4,3,priv,695,0.0,0.0,0.0
dutch@0.965,cut,4,3,unpriv,1118,0.0,0.0,0.0
dutch@0.965,cut,4,4,priv,788,0.0,0.0,0.0
dutch@0.965,cut,4,4,unpriv,1024,0.0,0.000347,0.000347
dutch@0.965,cut,4,5,priv,1098,0.0,0.0,0.0
dutch@0.965,cut,4,5,unpriv,715,0.0,0.000497,0.000497
dutch@0.965,cut,4,6,priv,942,0.0,0.0,0.0
dutch@0.965,cut,4,6,unpriv,871,0.0,0.000408,0.000408
dutch@0.965,cut,4,7,priv,1090,0.0,0.0,0.0
dutch@0.965,cut,4,7,unpriv,722,0.0,0.0,0.0
dutch@0.965,cut,4,8,priv,1271,0.0,0.00028,0.00028
dutch@0.965,cut,4,8,unpriv,542,0.0,0.0,0.0
dutch@0.965,cut,4,9,priv,1105,0.58371,0.404839,-0.178871
dutch@0.965,cut,4,9,unpriv,707,0.432815,0.340075,-0.09274
