seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6374242325490451,0.7968369829683698,0.12222513577552097,0.0715883668903804,0.8161283501518374,4262,,,,,,,
0,expgrad_dp,0.6374242325490451,0.7740267639902676,0.02057598586375442,0.08556476534869067,0.969514275964054,4420,0.10164914991176655,-0.10042064654070573,0.5725190839694656,0.50625,150.0,112.0,3.7071797278273113
0,expgrad_dp_floor,0.6374242325490451,0.7744829683698297,0.019558998273129125,0.08203693507343862,0.9712162061155349,4451,0.10266613750239184,-0.14399613433196454,0.54,0.4341317365269461,135.0,115.0,4.434537775692164
1,baseline,0.6386625822850811,0.8029197080291971,0.10742979714582013,0.06837856239665407,0.8355560055542699,4200,,,,,,,
1,expgrad_dp,0.6386625822850811,0.7863442822384428,0.006410210980631215,0.1184204130021776,1.009643319775469,4377,0.11384000812645134,-0.10048869567021886,0.5655430711610487,0.46686746987951805,151.0,116.0,4.214285714285714
1,expgrad_dp_floor,0.6386625822850811,0.7860401459854015,0.008999336182315965,0.11797695402213326,1.0135454909107071,4377,0.11642913332813609,-0.09523084882977777,0.5656934306569343,0.47477744807121663,155.0,119.0,4.214285714285714
2,baseline,0.6389884637945643,0.8026155717761557,0.12956256540730293,0.07110203287617933,0.801943907278909,4186,,,,,,,
2,expgrad_dp,0.6389884637945643,0.7840632603406326,0.03063955644694527,0.05265653754768179,0.9535253711341316,4308,0.09892300896035766,-0.0515940298507454,0.6173285198555957,0.6013071895424836,171.0,106.0,2.9144768275203057
2,expgrad_dp_floor,0.6389884637945643,0.7913625304136253,0.035567398755991464,0.054410531902756465,0.9464509910621242,4336,0.09399516665131147,-0.1067254768905979,0.559322033898305,0.4880546075085324,132.0,104.0,3.58337314859054
3,baseline,0.6380759955680114,0.79911800486618,0.12101679860338432,0.07139383328469995,0.8157509513225001,4211,,,,,,,
3,expgrad_dp,0.6380759955680114,0.7790450121654501,0.008408751054194474,0.08770269398850183,0.9874399254758326,4395,0.11260804754918985,-0.11252832088612896,0.5592592592592592,0.4619883040935672,151.0,119.0,4.369508430301591
3,expgrad_dp_floor,0.6380759955680114,0.7802615571776156,0.01606273431464955,0.07516679315664415,0.9760009317970447,4387,0.10495406428873477,-0.11905780138651229,0.562015503875969,0.46504559270516715,145.0,113.0,4.179529802897174
4,baseline,0.6377501140585283,0.8056569343065694,0.10813377461854101,0.0715883668903804,0.8346565911241792,4204,,,,,,,
4,expgrad_dp,0.6377501140585283,0.7833029197080292,0.0016382831454091473,0.1111068121053389,1.0025316086027236,4257,0.10977205776395016,0.06252757303491643,0.6761904761904762,0.8079710144927537,213.0,102.0,1.2607040913415795
4,expgrad_dp_floor,0.6377501140585283,0.7779805352798054,0.004223864836325197,0.10999469238133502,1.006376195536663,4360,0.11235763945486621,-0.07518607291535293,0.5972696245733788,0.5425219941348973,175.0,118.0,3.7107516650808754
