seed,arm,uses_attribute_at_predict,targets_parity,accuracy,dp_diff,eo_diff,disparate_impact,positives,floor_target,threshold_rate,minimax_worst_error,dp_closure,people_share_levelling_down,lost_per_gained,positives_pct_change
0,baseline,False,False,0.8451389400751824,0.18669779513018375,0.08975549948321382,0.3001316382307725,2796,0.2037592797346391,0.18,0.18526837942814356,,,,
0,expgrad_dp,False,True,0.8302498710105403,0.02824267362748603,0.26054390171439096,0.8371244300500522,2228,0.2037592797346391,0.18,0.18526837942814356,0.15845512150269772,0.7549103330486764,2.7974683544303796,-20.314735336194563
0,expgrad_dp_floor,False,True,0.823910960418663,0.025214833107308793,0.257478753185453,0.8820043732259919,2788,0.2037592797346391,0.18,0.18526837942814356,0.16148296202287496,0.5460588793922128,1.0141093474426808,-0.2861230329041488
0,group_thresholds,True,True,0.8273752487653866,0.01081098832417618,0.2913753206375509,0.9413465455729826,2453,0.2037592797346391,0.18,0.18526837942814356,0.17588680680600757,0.6469580119965724,1.8325242718446602,-12.26752503576538
0,minimax,False,False,0.8452126483378787,0.18685723988401295,0.0939483716006142,0.3040916621155792,2819,0.2037592797346391,0.18,0.18526837942814356,-0.0001594447538292021,0.7,0.5,0.8226037195994278
1,baseline,False,False,0.844696690499005,0.19755120794384573,0.14579227289655483,0.2536411046411967,2720,0.2026536092244511,0.16999999999999998,0.18681267256305864,,,,
1,expgrad_dp,False,True,0.8275963735534754,0.01695357393756375,0.28220707432095976,0.8961466019262817,2140,0.2026536092244511,0.16999999999999998,0.18681267256305864,0.18059763400628198,0.7311248073959938,2.5718157181571817,-21.323529411764707
1,expgrad_dp_floor,False,True,0.8246480430456254,0.021972963142802227,0.25129405758713186,0.8936424965846814,2706,0.2026536092244511,0.16999999999999998,0.18681267256305864,0.1755782448010435,0.5456140350877193,1.0230263157894737,-0.5147058823529411
1,group_thresholds,True,True,0.8266381661384241,0.0016197585880614873,0.3210267096833586,1.0097847949534744,2253,0.2026536092244511,0.16999999999999998,0.18681267256305864,0.19917096653190722,0.6730911786508524,2.058956916099773,-17.169117647058822
1,minimax,False,False,0.8452126483378787,0.1948208094077457,0.13551513325550163,0.27265838868482056,2775,0.2026536092244511,0.16999999999999998,0.18681267256305864,0.0027303985361000205,0.546875,0.40860215053763443,2.0220588235294117
2,baseline,False,False,0.8497088523623498,0.18498382594200324,0.0816311700236312,0.31496891307041425,2848,0.20356973621860686,0.18,0.18751462398802002,,,,
2,expgrad_dp,False,True,0.830765828849414,0.013886900025959908,0.28624302757169096,0.9179508190724253,2235,0.20356973621860686,0.18,0.18751462398802002,0.17109692591604334,0.7509976057462091,2.8575757575757574,-21.52387640449438
2,expgrad_dp_floor,False,True,0.827817498341564,0.013463150454972317,0.2628160869037607,0.9357835771527935,2785,0.20356973621860686,0.18,0.18751462398802002,0.17152067548703093,0.5584532374100719,1.112701252236136,-2.212078651685393
2,group_thresholds,True,True,0.8305447040613253,0.0010918919395500881,0.32770099214568765,0.9940478890580954,2484,0.20356973621860686,0.18,0.18751462398802002,0.18389193400245316,0.648936170212766,1.8484848484848484,-12.780898876404494
2,minimax,False,False,0.8483821036338174,0.18239630357627304,0.0778458874312491,0.3305068744883734,2892,0.20356973621860686,0.18,0.18751462398802002,0.002587522365730205,0.5,0.47619047619047616,1.5449438202247192
3,baseline,False,False,0.84381219134665,0.18740348304811016,0.0874636980929875,0.295756627921792,2784,0.20521244669088612,0.15,0.1838176798165567,,,,
3,expgrad_dp,False,True,0.8273752487653866,0.02475660899495269,0.26413838988689287,0.8565964420140565,2233,0.20521244669088612,0.15,0.1838176798165567,0.16264687405315748,0.7415540540540541,2.6798780487804876,-19.791666666666668
3,expgrad_dp_floor,False,True,0.8232475860543967,0.022535230034101572,0.25722977525033786,0.8940022410619917,2785,0.20521244669088612,0.15,0.1838176798165567,0.1648682530140086,0.5359168241965974,0.9982394366197183,0.035919540229885055
3,group_thresholds,True,True,0.8261959165622467,0.0029848711744341894,0.3295693727848286,0.9803624639256693,2049,0.20521244669088612,0.15,0.1838176798165567,0.18441861187367597,0.7712177121771218,3.370967741935484,-26.400862068965516
3,minimax,False,False,0.8436647748212575,0.18710088969578248,0.10078375743272361,0.30204890108595683,2812,0.20521244669088612,0.15,0.1838176798165567,0.0003025933523276847,0.5111111111111111,0.5555555555555556,1.0057471264367817
4,baseline,False,False,0.8510356010908823,0.17409782081767966,0.06974729785711598,0.3334498983911746,2776,0.20281156215447796,0.15,0.19013524264120923,,,,
4,expgrad_dp,False,True,0.8252377091471954,0.005360791182799224,0.30785389388937007,0.967870336615134,2240,0.20281156215447796,0.15,0.19013524264120923,0.16873702963488044,0.7311475409836066,2.50561797752809,-19.30835734870317
4,expgrad_dp_floor,False,True,0.8228053364782192,0.006440770583270111,0.2838285692765412,0.9688077329446919,2773,0.20281156215447796,0.15,0.19013524264120923,0.16765705023440955,0.540590405904059,1.0051457975986278,-0.10806916426512968
4,group_thresholds,True,True,0.8244269182575367,0.008489752071085321,0.3564171447461471,1.0567512039905105,2067,0.20281156215447796,0.15,0.19013524264120923,0.18258757288876498,0.7655430711610487,3.2651757188498403,-25.540345821325648
4,minimax,False,False,0.8494140193115648,0.1683518162609972,0.06501601640787671,0.3602630982082105,2828,0.20281156215447796,0.15,0.19013524264120923,0.005746004556682449,0.5294117647058824,0.49514563106796117,1.8731988472622478
