seed,arm,accuracy,sex_dp_gap,intersectional_gap_all,intersectional_gap_reliable,gap_inflation,worst_subgroup,worst_subgroup_rate,n_unreliable_subgroups
0,baseline,0.7889537494387068,0.12516092063212156,1.0,0.26850516702715693,0.731494832972843,Female x Black,0.08333333333333333,12
0,expgrad_dp_sex,0.7786259541984732,0.012130753479378364,1.0,0.1790148480937634,0.8209851519062366,Male x Black,0.099644128113879,12
0,expgrad_dp_intersectional,0.7449483610237988,0.006189013347546013,0.6666666666666666,0.032153406784169336,0.6345132598824973,Female x White,0.20964987190435525,12
1,baseline,0.7858105074090705,0.1386395555618606,0.6363636363636364,0.29027561767191484,0.3460880186917215,Female x Black,0.0784313725490196,11
1,expgrad_dp_sex,0.7705433318365514,0.023312548855315363,0.45454545454545453,0.20818798172541098,0.24635747282004355,Male x Black,0.08771929824561403,11
1,expgrad_dp_intersectional,0.7474928902858854,0.011941123475170956,0.3333333333333333,0.045665503853803274,0.28766782947953007,Male x Black,0.18070175438596492,11
2,baseline,0.7928453824277802,0.12809722272852075,0.375,0.28029476126068625,0.09470523873931375,Female x Black,0.08850726552179657,10
2,expgrad_dp_sex,0.7762311031282743,0.02061849190633641,0.3541666666666667,0.18070157757659544,0.17346508909007124,Male x Black,0.12259194395796848,10
2,expgrad_dp_intersectional,0.7416554408022751,0.011544175440795501,1.0,0.019110387124107647,0.9808896128758924,Female x White,0.24708926261319533,10
