seed,method,accuracy,dp_diff,eo_diff,baseline_accuracy,baseline_dp_diff,baseline_eo_diff,n_priv,n_unpriv,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change
0,expgrad_dp,0.7846715328467153,0.009804894297073763,0.05019939195325146,0.7950121654501217,0.0868526301118096,0.045276076372529284,5682,894,0.07704773581473584,0.02111932418162621,0.05592841163310963,0.27410700597884424,mixed,0.06797581387000529,0.5273537420579255,mixed,190,70,11,61,4.575853572685674,8.053691275167786,0.7569721115537849,1.534351145038168,-70.0,0.05048661800486618,0.021289537712895375,0.4216867469879518,-70,-3.0395136778115504
0,expgrad_eo,0.7931873479318735,0.04403048364197315,0.015796054276727062,0.7950121654501217,0.0868526301118096,0.045276076372529284,5682,894,0.04282214646983645,0.010383667722632883,0.03243847874720357,0.2424835880178741,levelling up,0.041147831549662395,0.3167938931297716,mixed,85,26,3,32,1.9535374868004225,3.9149888143176734,0.7264957264957265,1.5172413793103448,-30.0,0.022201946472019465,0.0,0.0,-30,-1.302648719062093
0,gridsearch_dp,0.7822384428223844,0.001709153360783755,0.06219581211092248,0.7950121654501217,0.0868526301118096,0.045276076372529284,5682,894,0.08856178347259336,0.028159098908834945,0.06040268456375841,0.3179599349142416,mixed,0.07559848331874996,0.6281347380917053,mixed,242,82,15,69,5.70221752903907,9.395973154362416,0.7781350482315113,1.7019867549668874,-106.0,0.06204379562043796,0.0,0.0,-106,-4.602692140686061
0,prejudice_remover,0.7883211678832117,0.016242272193598528,0.04425711691080664,0.7950121654501217,0.0868526301118096,0.045276076372529284,5682,894,0.07061035791821108,0.010207673354452662,0.06040268456375841,0.14456339913014388,levelling up,0.06495254762065028,0.2580310880829018,mixed,69,11,12,66,1.407954945441746,8.724832214765101,0.5111111111111111,1.051948051948052,-4.0,0.02402676399026764,0.0,0.0,-4,-0.17368649587494572
0,adversarial_debiasing,0.7928832116788321,0.06581126316709546,0.022346368715083886,0.7950121654501217,0.0868526301118096,0.045276076372529284,5682,894,0.021041366944714146,0.00985568461809222,0.011185682326621926,0.4683956438756034,mixed,0.022929707657445397,0.6497064579256361,mixed,114,58,6,16,3.0271031326997537,2.460850111856823,0.8769230769230769,1.6216216216216217,-46.0,0.029501216545012164,0.0,0.0,-46,-1.997394702561876
1,expgrad_dp,0.7822384428223844,0.009077293419228027,0.06427659546465564,0.7839111922141119,0.10243817164293695,0.10796257656323616,5682,894,0.09336087822370892,0.01953537486800422,0.0738255033557047,0.2092458344403537,levelling up,0.09818604025038691,0.2228506141102538,levelling up,182,71,5,71,4.452657514959522,8.501118568232663,0.7193675889328063,1.3169014084507042,-45.0,0.05003041362530414,0.0009124087591240876,0.0182370820668693,-45,-1.9413287316652286
1,expgrad_eo,0.784823600973236,0.07219785074260171,0.0622153418141842,0.7839111922141119,0.10243817164293695,0.10796257656323616,5682,894,0.030240320900335238,0.005631819781766967,0.02460850111856827,0.18623545035544029,levelling up,0.04574723474905196,0.12211868563020986,levelling up,56,24,3,25,1.407954945441746,3.131991051454139,0.691358024691358,1.2040816326530612,-10.0,0.016423357664233577,0.00030413625304136254,0.018518518518518517,-10,-0.4314063848144953
1,gridsearch_dp,0.7839111922141119,0.10243817164293695,0.10796257656323616,0.7839111922141119,0.10243817164293695,0.10796257656323616,5682,894,0.0,0.0,0.0,,gap widened,0.0,,gap widened,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0,0.0
1,prejudice_remover,0.7837591240875912,0.03823802470535709,0.024066542951527353,0.7839111922141119,0.10243817164293695,0.10796257656323616,5682,894,0.06420014693757986,0.008271735304470229,0.05592841163310963,0.12884293415266826,levelling up,0.0981299499674676,0.09962846527579287,levelling up,64,17,12,62,1.4255543822597676,8.277404921700224,0.5079365079365079,0.9620253164556962,3.0,0.023570559610705595,0.0,0.0,3,0.12942191544434858
1,adversarial_debiasing,0.7823905109489051,0.08774441365527308,0.09370442664512801,0.7839111922141119,0.10243817164293695,0.10796257656323616,5682,894,0.014693757987663869,0.006863780359028515,0.007829977628635354,0.4671221864951768,mixed,0.014258149918108143,0.7183320220299011,mixed,89,50,9,16,2.4463217177050334,2.796420581655481,0.8476190476190476,1.4848484848484849,-32.0,0.024939172749391728,0.0,0.0,-32,-1.380500431406385
