method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.0861,0.0216,0.0645,0.2526,0.7421,1.5006,-2.7955
expgrad_eo,0.0349,0.0077,0.0272,0.2171,0.6991,1.3983,-0.8334
gridsearch_dp,0.0665,0.0191,0.0474,0.2907,0.7629,1.6363,-2.8539
prejudice_remover,0.0667,0.0093,0.0574,0.1396,0.509,1.0227,-0.0715
adversarial_debiasing,0.0198,0.0086,0.0112,0.4391,0.8476,1.5252,-1.6652
