arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7191,0.118,0.0433,0.8111,11630.6,,,,
expgrad_dp,0.7156,0.0205,0.0677,0.9638,11337.6,-2.5197,0.6273,0.578,1.492
expgrad_dp_floor,0.7025,0.0177,0.0684,0.9694,11614.8,-0.1353,0.4891,0.5087,1.0217
