method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.099,0.0588,0.0402,0.5933,0.5934,1.3615,-5.5128
expgrad_eo,0.025,0.0122,0.0128,0.5027,0.5406,1.111,-0.2003
gridsearch_dp,0.1013,0.0638,0.0376,0.6309,0.6174,1.457,-7.2103
prejudice_remover,0.0795,0.0355,0.044,0.4482,0.4672,0.9399,0.8699
adversarial_debiasing,0.0796,0.0793,0.0003,1.012,0.7694,2.9879,-18.7789
