population,group_ratio,n_runs,mean_abs_error,max_abs_error
MS,1.0182096403978578,14,0.054366731605048124,0.20520783564261824
VT,1.0495103373231773,5,0.06337068160597688,0.12142857142857189
NM,1.0745415575136938,10,0.10353404286615846,0.2867647058823527
AL,1.0916776253992109,15,0.04412051798051115,0.113999573833369
OR,1.0947056574923548,15,0.07842845678676524,0.20195056989542115
WV,1.1223153483499215,13,0.04402944211678294,0.1090909090909098
WY,1.135191637630662,12,0.0956244997864878,0.21428571428571366
UT,1.1721845499268715,15,0.06992096892246553,0.16489159376188667
ND,1.2443324937027709,14,0.0933690904038043,0.24584040747028868
Adult,2.077373256209595,25,0.013660353303370334,0.0682838089782053
