arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7984,0.108,0.0515,0.6785,6000.6,,,,
expgrad_dp,0.7768,0.0174,0.0758,0.9422,5551.8,-7.4803,0.3962,0.841,1.8039
expgrad_dp_floor,0.7824,0.0141,0.0743,0.9577,6004.6,0.0665,0.129,0.7567,0.9987
