arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7467,0.1562,0.0885,0.6354,324.0,,,,
postprocess_dp,0.7293,0.0435,0.1625,1.0341,319.3333,-1.2828,0.5072,0.5368,1.3527
