method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.0294,0.0068,0.0226,0.2271,0.8911,1.6285,-2.1491
expgrad_eo,0.01,0.0025,0.0075,0.3001,0.9433,1.5664,-0.7784
gridsearch_dp,0.0325,0.0074,0.0251,0.2336,0.9116,1.7877,-2.3277
prejudice_remover,0.0572,-0.0004,0.0576,-0.0069,0.5196,0.7399,1.5141
adversarial_debiasing,0.0132,0.0283,-0.015,1.5989,0.9967,3.6723,-11.5432
