method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.1319,0.0648,0.0671,0.4761,0.5451,1.1146,-1.5742
expgrad_eo,0.0374,0.0117,0.0257,0.2357,0.4208,0.7699,1.5853
gridsearch_dp,0.1226,0.0571,0.0654,0.4752,0.5537,1.0923,-0.5702
prejudice_remover,0.0872,0.0346,0.0526,0.3915,0.5433,0.9314,1.4359
adversarial_debiasing,0.1377,0.1305,0.0073,0.9471,0.7312,2.7858,-20.3897
