seed,method,accuracy,dp_diff,eo_diff,baseline_accuracy,baseline_dp_diff,baseline_eo_diff,n_priv,n_unpriv,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change
0,expgrad_dp,0.8229821473472466,0.025322876602679845,0.03885491207322134,0.8324532729863381,0.07102256538587126,0.10211873664226973,6956,4975,0.04569968878319142,0.010925819436457762,0.034773869346733655,0.23907863986321795,levelling up,0.03546490822952253,0.42507869432107165,mixed,252,176,51,224,6.152961472110408,5.527638190954774,0.5294117647058824,0.7575,97.0,0.05892213561310871,0.013158997569357136,0.22332859174964437,97,1.075149634227444
0,expgrad_eo,0.8125890537255888,0.031105816604587,0.034215813998527744,0.8324532729863381,0.07102256538587126,0.10211873664226973,6956,4975,0.03991674878128426,-0.01998274870615291,0.05989949748743717,-0.5006106287775173,levelling up,0.020830934954749414,-0.1833376891475606,levelling up,150,289,48,346,6.311098332374928,7.919597989949748,0.3024193548387097,0.31181102362204727,437.0,0.069818120861621,0.04500880060346995,0.644657863145258,437,4.843715362447351
0,gridsearch_dp,0.8182046768921297,0.013174758207368131,0.030718840703823358,0.8324532729863381,0.07102256538587126,0.10211873664226973,6956,4975,0.05784780717850313,0.012219666474985624,0.045628140703517506,0.21123819676135597,levelling up,0.04374550781907094,0.4365128750113609,mixed,304,219,59,286,7.518688901667625,6.934673366834171,0.5152542372881356,0.7188118811881188,142.0,0.07275165535160506,0.0,0.0,142,1.5739303923741965
0,prejudice_remover,0.8319503813594837,0.02792423879027106,0.033957588206971534,0.8324532729863381,0.07102256538587126,0.10211873664226973,6956,4975,0.0430983265956002,0.01998274870615302,0.02311557788944718,0.463654862836206,mixed,0.03181867952054862,0.4548385422373956,mixed,154,15,20,135,2.429557216791259,3.1155778894472363,0.532871972318339,1.16,-24.0,0.027156147850138295,0.0,0.0,-24,-0.2660164043449346
0,adversarial_debiasing,0.830357891207778,0.06720607060604933,0.09953827196137133,0.8324532729863381,0.07102256538587126,0.10211873664226973,6956,4975,0.003816494779821933,-0.002012650948821193,0.005829145728643126,-0.5273558762512176,levelling up,0.003749545047208147,0.10721568755405185,levelling up,24,38,16,45,0.8913168487636572,1.2261306532663316,0.34782608695652173,0.4819277108433735,43.0,0.010309278350515464,0.0,0.0,43,0.4766127244513412
1,expgrad_dp,0.820551504484117,0.027311456650706112,0.03862388367406283,0.8327885340709077,0.07234828541788874,0.10960339925562829,6956,4975,0.045036828767182624,0.009056929269695257,0.035979899497487366,0.20110051079561908,levelling up,0.030302700355092527,0.45769342570611987,mixed,271,208,69,248,6.8861414606095455,6.371859296482412,0.5221579961464354,0.7456140350877193,116.0,0.06671695582935211,0.016260162601626018,0.24371859296482415,116,1.2803532008830023
1,expgrad_eo,0.816360740926997,0.03561184299877762,0.043813803662920925,0.8327885340709077,0.07234828541788874,0.10960339925562829,6956,4975,0.036736442419111115,-0.014519838987924083,0.0512562814070352,-0.39524347029233675,levelling up,0.0182817924069526,-0.13193784547024084,levelling up,176,277,53,308,6.5123634272570445,7.256281407035176,0.36363636363636365,0.39145299145299145,356.0,0.06822563070991534,0.038052133098650576,0.5577395577395577,356,3.9293598233995586
1,gridsearch_dp,0.8161092951135697,0.011485402862501104,0.029926075906006044,0.8327885340709077,0.07234828541788874,0.10960339925562829,6956,4975,0.06086288255538763,0.012219666474985624,0.04864321608040201,0.20077370577815212,levelling up,0.041615258275553124,0.45885759642521234,mixed,333,248,75,317,8.35250143760782,7.8793969849246235,0.5123076923076924,0.7221238938053097,157.0,0.08155225882155728,0.0,0.0,157,1.7328918322295805
1,prejudice_remover,0.8334590562400469,0.03385160419694788,0.04572359857963865,0.8327885340709077,0.07234828541788874,0.10960339925562829,6956,4975,0.038496681220940854,0.014376078205865506,0.024120603015075348,0.373436819744488,mixed,0.02700018656887604,0.33500606033144964,mixed,113,13,12,132,1.8113858539390455,2.8944723618090453,0.46122448979591835,0.8620689655172413,20.0,0.02263012320844858,0.0,0.0,20,0.22075055187637968
1,adversarial_debiasing,0.8325370882574805,0.06520382244748757,0.1027039288874862,0.8327885340709077,0.07234828541788874,0.10960339925562829,6956,4975,0.007144462970401166,-0.004312823461759652,0.011457286432160818,-0.6036595724027504,levelling up,0.0067175805992836235,-0.35906681964705595,levelling up,33,63,8,65,1.3801035077630823,1.4673366834170853,0.336734693877551,0.3203125,87.0,0.014164780823065963,0.0,0.0,87,0.9602649006622517
