method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,seed
decision_tree,0.834716285307183,0.060987253692268095,0.09776027979242707,0.9255872063351313,0
decision_tree,0.8325370882574805,0.05783621962601959,0.09312297495239708,0.9299357813098934,1
decision_tree,0.8322018271729109,0.06887002580469914,0.11361426745317937,0.9171320014707685,2
decision_tree,0.8300226301232084,0.0680556029139372,0.10902149460729504,0.9173109565293717,3
decision_tree,0.8254966054815187,0.06526233814269733,0.1219955473983303,0.9222263450195987,4
logistic_regression,0.8324532729863381,0.07102256538587126,0.10211873664226973,0.9096170938850859,0
logistic_regression,0.8327885340709077,0.07234828541788874,0.10960339925562829,0.9083658642813485,1
logistic_regression,0.8328723493420501,0.08128292410875537,0.11686390753603876,0.8974788721485943,2
logistic_regression,0.8323694577151957,0.06938785358650634,0.09821725575919726,0.9118747654650834,3
logistic_regression,0.8328723493420501,0.07938476164606822,0.1156113331235249,0.8995816690289051,4
