arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7904,0.1035,0.0526,0.7199,4990.2,,,,
expgrad_dp,0.7822,0.0173,0.0754,0.9479,5036.2,0.9205,0.4477,0.4864,0.9245
expgrad_dp_floor,0.7821,0.0168,0.0748,0.949,5026.8,0.7336,0.4556,0.4897,0.9393
