name,p,mode_rate,curvature,rbar,s_star,dp_base,lambda,lambda_minus_p,identity_pct,recorded_pct,predicted,observed
acs_income_ky_2018_t20000,0.5216759065709352,0.25800262546703023,-0.08391690892444442,0.7654650106028477,0.7675855801272342,0.05022360849682854,0.563898470577272,0.04222256400633684,0.27703023587145814,0.2766200528261827,up,up
acs_income_ky_2018_t30000,0.5216759065709352,0.17838028880137333,-0.09105114939290265,0.6049984853074826,0.609179036655559,0.07671786859911486,0.5761684442862576,0.054492537715322364,0.691001952831612,0.6904795652561241,up,up
acs_income_ky_2018,0.5216759065709352,0.8101585378168233,0.1756734256340404,0.26031505604362315,0.2561345046955468,0.0819926753506203,0.4706890186544318,-0.05098688791650341,-1.6059583381822344,-1.5943651589775842,down,down
acs_income_ky_2018_t70000,0.5216759065709352,0.6848934666262748,0.09389289389289386,0.09142684035140866,0.07703726143592851,0.06769806085828878,0.30912064674448886,-0.21255525982644635,-15.73889993373094,-15.739301465989849,down,down
acs_income_sc_2018_t20000,0.5070139475059287,0.2592443729903537,-0.0022972568327158474,0.7635316184351554,0.7700696677384781,0.06313999448478715,0.6105624092483183,0.10354846174238963,0.856290577294272,0.8562216577068659,up,up
acs_income_sc_2018_t30000,0.5070139475059287,0.17952840300107184,-0.12370213949319492,0.5971596998928188,0.6003215434083602,0.08680554278885924,0.5434383901619932,0.03642444265606459,0.529480391277055,0.5304354756732939,up,up
acs_income_sc_2018,0.5070139475059287,0.8023401214719543,0.03381963996585368,0.2557877813504823,0.24713290460878884,0.09728525140178321,0.4180500334800579,-0.08896391402587073,-3.383616174313849,-3.376219568409475,down,down
acs_income_sc_2018_t70000,0.5070139475059287,0.6810021436227224,0.133246278618014,0.10190246516613076,0.08788853161843516,0.07579235223825713,0.32211490249882696,-0.1848990450071017,-13.752300815145935,-13.676541594855086,down,down
acs_income_ct_2018_t20000,0.5076573161485974,0.3176662174303684,-0.13961710624686527,0.8214959568733153,0.8252695417789758,0.0571780239784289,0.5736544360750241,0.06599711992642665,0.459355262078596,0.4604868845717519,up,up
acs_income_ct_2018_t30000,0.5076573161485974,0.23961141060197663,-0.2617922656450203,0.7258423180592992,0.7316374663072777,0.08238894997035875,0.5779962177860547,0.07033890163745726,0.7984031936127753,0.7995324769983589,up,up
acs_income_ct_2018,0.5076573161485974,0.8737084456424079,-0.04263814069589874,0.5078840970350404,0.5107142857142857,0.10039047353133564,0.5358491214035237,0.02819180525492626,0.5572508955817854,0.5588629340526562,down,up
acs_income_ct_2018_t70000,0.5076573161485974,0.7995844564240789,-0.06624150736072704,0.306300539083558,0.30825471698113205,0.09288631151818544,0.5286957002294583,0.021038384080860895,0.6379936200637824,0.6388052935210157,down,up
hmda_la_2018_race,0.7753844770213149,0.27295210972045264,-0.1618434247959376,0.7937195533238403,0.8115491268830098,0.20202683190955625,0.8636379698402865,0.08825349281897166,2.2463316525975845,2.246370990112247,up,up
hmda_la_2018_sex,0.5877173894849606,0.2567092562629025,-0.07595888908240216,0.7417954583496067,0.744183451431122,0.07988576094221818,0.617609989284348,0.02989259979938741,0.3219206931824885,0.32236181163732935,up,up
