dataset,name,p,n_test,rbar_model,mode_rate,curvature,predicted_direction
acs:KY:SEX:20000,acs_income_ky_2018_t20000,0.5216759065709352,6602.0,0.766535393315157,0.25800262546703023,-0.08391690892444442,up
acs:KY:SEX:30000,acs_income_ky_2018_t30000,0.5216759065709352,6602.0,0.609259820256488,0.17838028880137333,-0.09105114939290265,up
acs:KY,acs_income_ky_2018,0.5216759065709352,6602.0,0.25860850247399775,0.8101585378168233,0.1756734256340404,down
acs:KY:SEX:70000,acs_income_ky_2018_t70000,0.5216759065709352,6602.0,0.09098253054629911,0.6848934666262748,0.09389289389289386,down
acs:SC:SEX:20000,acs_income_sc_2018_t20000,0.5070139475059287,7464.0,0.7646927474097892,0.2592443729903537,-0.0022972568327158474,up
acs:SC:SEX:30000,acs_income_sc_2018_t30000,0.5070139475059287,7464.0,0.5980260807431225,0.17952840300107184,-0.12370213949319492,up
acs:SC,acs_income_sc_2018,0.5070139475059287,7464.0,0.25719006788138615,0.8023401214719543,0.03381963996585368,down
acs:SC:SEX:70000,acs_income_sc_2018_t70000,0.5070139475059287,7464.0,0.10409967845659163,0.6810021436227224,0.133246278618014,down
acs:CT:SEX:20000,acs_income_ct_2018_t20000,0.5076573161485974,5936.0,0.8215408805031448,0.3176662174303684,-0.13961710624686527,up
acs:CT:SEX:30000,acs_income_ct_2018_t30000,0.5076573161485974,5936.0,0.7263027852650494,0.23961141060197663,-0.2617922656450203,up
acs:CT,acs_income_ct_2018,0.5076573161485974,5936.0,0.5091531895777178,0.8737084456424079,-0.04263814069589874,down
acs:CT:SEX:70000,acs_income_ct_2018_t70000,0.5076573161485974,5936.0,0.30997304582210244,0.7995844564240789,-0.06624150736072704,down
hmda:LA:derived_race,hmda_la_2018_race,0.7753844770213149,26686.0,0.793849459142122,0.27295210972045264,-0.1618434247959376,up
hmda:LA:derived_sex,hmda_la_2018_sex,0.5877173894849606,17923.0,0.7429001841209618,0.2567092562629025,-0.07595888908240216,up
