strength,seed,leakage_auc,synth_baseline,synth_baseline_exact,synth_mitigated,excess,excess_mismatched,baseline_accuracy,mitigated_accuracy,mitigated_dp
0.5,0,0.8074610338175305,0.029734606556444214,0.010814354305660544,0.040433808719932095,0.010699202163487881,0.02961945441427155,0.7901511749738063,0.779524023349798,0.00845263173583824
0.5,1,0.801737565721791,0.04263082317506836,0.0035225118951386475,0.050456813107012125,0.007825989931943764,0.046934301211873475,0.785660829217183,0.7715910791797636,0.022946846673905924
0.5,2,0.8051933301237497,0.021755776132093105,0.00945580810387485,0.047070668553998496,0.02531489242190539,0.03761486045012365,0.7913486005089059,0.7780272414309235,0.01866104696233742
0.7,0,0.8305193958632286,0.03901800914146979,0.02576560617452723,0.04531121056782806,0.006293201426358273,0.01954560439330083,0.7904505313575813,0.7807214488848975,0.011920292906526964
0.7,1,0.8258075571507302,0.05437763285973489,0.022103312669138446,0.050323182481399366,-0.004054450378335524,0.02821986981226092,0.785660829217183,0.7720401137554258,0.02167079477059347
0.7,2,0.8280080104310867,0.03313441481144607,0.023406820644929847,0.05437170109747117,0.0212372862860251,0.030964880452541324,0.7914982787007933,0.7765304595120491,0.015246000934861559
0.85,0,0.874194543863521,0.057562961320619915,0.04069774919621146,0.05650417047486894,-0.0010587908457509732,0.01580642127865748,0.7914982787007933,0.7802724143092351,0.007355525191609813
0.85,1,0.8735339813914784,0.06212925801292192,0.04135081175583686,0.05549529818289884,-0.00663395983002308,0.01414448642706198,0.7873072893279449,0.7735368956743003,0.029311213903183475
0.85,2,0.8741524786850309,0.04832580537626423,0.039017166663421345,0.0523787945553983,0.0040529891791340755,0.013361627891976958,0.7944918425385421,0.7792246669660231,0.013209633276043242
1.0,0,0.9414175273791787,0.06824324279412723,0.059920669711612085,0.0639063444259648,-0.004336898368162437,0.0039856747143527105,0.7965873372249663,0.7799730579254602,0.008686796059215546
1.0,1,0.9430084620593638,0.07152575880757536,0.06201935611420049,0.06260799200209614,-0.008917766805479219,0.0005886358878956569,0.7908995659332435,0.7715910791797636,0.02433073268472452
1.0,2,0.9400294662759378,0.06598602841492819,0.05805148565016661,0.053506475930228864,-0.012479552484699327,-0.004545009719937744,0.7953899116898668,0.7774285286633738,0.014251520855978361
