attribute,arms,states,clears_floor,floor_up,clears_both,both_up,rate_lo,rate_hi,median_gap,median_effect
race,40,40,31,25,12,12,0.8232655760328915,0.8983765239232984,0.07879655054116125,0.4733657260344197
sex,26,26,0,0,0,0,,,0.01312068394545397,0.0213817446712607
