state,attribute,rate,gap,pie
ak,race,0.8937754144510478,0.12316469903558362,0.7562308248028611
ak,sex,0.8542901716068643,0.01208477649069762,-0.02731417399415126
al,race,0.8232655760328915,0.1772665417231662,1.4744223921856547
ar,race,0.832596189370349,0.18334352111282154,2.021031986984471
ar,sex,0.7990092244619064,0.03611632276082084,-0.616010361136182
az,race,0.8818126185667952,0.052310986943400396,0.16552083877828244
ca,race,0.8592837621244526,0.05628077866167924,0.5752355061635365
ca,sex,0.8117926918697199,0.00723334513414014,-0.00837290301502798
co,race,0.8976465826298139,0.07922203069893732,1.287729582341383
ct,race,0.8533893329720454,0.09393160611364483,-0.2855591544509678
ct,sex,0.8049538038136426,0.010910398573566599,0.0032567044336282596
de,race,0.8708832052412749,0.10661766339740804,-0.2635231091524473
de,sex,0.8216135643748835,0.01633626944092684,-0.013435267402591322
fl,race,0.8277782055371619,0.0757692811382558,0.1500880285654826
fl,sex,0.7933571161206048,0.02665830897281482,-0.3204499817135046
ga,race,0.8352562095595909,0.10812045905931263,-0.3547072259075037
hi,race,0.8644437319653736,0.04174004395725914,0.3414513298456744
hi,sex,0.8352918135526831,0.035724401327386586,-0.008683052462117194
ia,race,0.926910210089656,0.037566484151472325,0.831430812426533
ia,sex,0.903114563106796,0.0132248889025212,0.02923414996502724
id,race,0.9115464895635673,0.014229369844340378,0.012425939548053159
id,sex,0.8819265884106577,0.01301647898838674,-0.0020802014525641175
ks,race,0.8983765239232984,0.09186656137859857,1.6230575879494034
ks,sex,0.8619772246296483,0.020970125053255382,0.02344914844440456
me,race,0.8785577600966864,0.06879707382412029,0.2702241421947455
me,sex,0.8465966813410091,0.00829243284797558,0.01197460569990438
mi,race,0.8929209954095192,0.1593431411165824,1.1897150647013117
mo,race,0.8944450919601856,0.1424475289257046,0.6098988378881742
mt,race,0.9061229807191247,0.05857161509335418,0.0841732928621576
mt,sex,0.8792220580994584,0.00400190162660634,0.00561796431876662
nc,race,0.8727917503812543,0.11998500116565744,2.4669922433834452
nd,race,0.9419572012503006,0.036694336257655,-0.15329943242514815
nd,sex,0.914764213309828,0.010737576028821859,-0.01931434089811684
ne,race,0.9200712891453791,0.08133246896365334,0.3343905530992457
ne,sex,0.88226505304049,0.01627005702379128,-0.040626961999928095
nh,race,0.8705147679324895,0.055304532436059116,-0.2966632349822612
nh,sex,0.8267641996557659,0.016688739904429258,-0.18687740066908906
nj,race,0.8329588839941262,0.07837107038338517,-0.16472046348244285
nj,sex,0.7855147988869213,0.015384144980096801,-0.018622997928393278
nm,race,0.8454113787447121,0.01598807680138546,0.11299860749810957
nm,sex,0.7847883281511601,0.01040877537381028,-0.006182879859095358
nv,race,0.8676774483378257,0.04775481722694214,-0.052473219405343774
nv,sex,0.8178942987931752,0.0064206180572856,-0.011210454798431961
oh,race,0.9040925849167738,0.1066787763208384,0.41194017058141197
ok,race,0.8630471802063509,0.08890256165978613,1.2906345678351834
ok,sex,0.8230298866368946,0.028576157999431546,-0.051907639166878516
or,race,0.89135632437197,0.05053617141273854,0.35772954109439886
or,sex,0.8517644932447699,0.01457441405003212,0.014800415652321281
pa,race,0.8812948677932848,0.1525471660372161,1.0652733193692923
ri,race,0.8774234026978981,0.0956192815064541,1.14907829153387
ri,sex,0.8368654822335027,0.0079196238319834,-0.060508212297740116
sc,race,0.8410368884015025,0.19438412068659688,4.218366504391757
sd,race,0.9231858407079645,0.01351749281357354,-0.004227270783572301
sd,sex,0.8936775158997381,0.009162396845171682,0.025153911755887243
tn,race,0.8554654840234106,0.11955455532341526,0.8414428610003636
tx,race,0.8284555987084691,0.07669174089669703,1.5128792515958138
ut,race,0.919917875286252,0.03057044388349058,0.5857885105922938
ut,sex,0.8908914984386683,0.02209111964435098,-0.007923145399929818
va,race,0.8600607016294488,0.11151932501981224,2.8357510349247677
vt,race,0.8770773638968482,0.11404006459215285,0.12482707881998248
vt,sex,0.8420781451266638,0.007550315049443019,0.051299689918666916
wa,race,0.8986083938150836,0.07025107319919006,0.7128396948394402
wv,race,0.8482644285566261,0.06326683639480896,-0.5347912814874274
wv,sex,0.8269102990033221,0.02396484696775584,-0.08823498207564036
wy,race,0.8934732531353979,0.0474552474552474,-0.02876358018173788
wy,sex,0.8681587837837839,0.01222600365538536,-0.03858134534721528
