method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.0913,0.0495,0.0418,0.5553,0.7624,1.602,-10.2017
expgrad_eo,0.0359,0.0183,0.0176,0.4977,0.7661,1.3706,-3.5114
gridsearch_dp,0.1016,0.0631,0.0385,0.6402,0.7809,1.8497,-14.5405
prejudice_remover,0.0749,0.018,0.057,0.2402,0.4814,0.925,0.9334
adversarial_debiasing,0.0335,0.042,-0.0085,1.4171,0.8647,3.0247,-13.4258
