arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.8267,0.0053,0.1354,1.0314,3081.0,,,,
expgrad_dp,0.8265,0.0039,0.1275,1.0128,3091.0,0.3276,9.0174,0.5611,0.7178
expgrad_dp_floor,0.8267,0.0053,0.1354,1.0314,3081.0,0.0,,,
