arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7678,0.0985,0.02,0.8044,8502.4,,,,
expgrad_dp,0.76,0.0122,0.1057,0.9728,8228.8,-3.2184,0.6509,0.5809,1.4882
expgrad_dp_floor,0.7469,0.013,0.0941,0.972,8501.8,-0.0083,0.4809,0.4924,1.0041
