,accuracy,accuracy,demographic_parity_diff,demographic_parity_diff,equalized_odds_diff,equalized_odds_diff,disparate_impact,disparate_impact
,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,
decision_tree,0.7185,0.0077,0.1721,0.0236,0.097,0.0641,0.6652,0.0486
logistic_regression,0.7484,0.0115,0.163,0.0531,0.094,0.0269,0.6293,0.0949
