method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.1519,0.107,0.0449,0.7046,0.6551,1.8825,-10.2167
expgrad_eo,0.0244,0.0082,0.0162,0.4298,0.554,1.0441,0.9405
gridsearch_dp,0.124,0.0961,0.0278,0.7726,0.6919,2.1588,-10.8675
prejudice_remover,0.0883,0.0334,0.0549,0.3605,0.4873,0.8905,2.2045
adversarial_debiasing,0.0905,0.1663,-0.0758,1.8718,0.8831,8.7012,-35.1986
