population,rate,pie_post,pie_reduction,dp_base
adult,0.20526276995651213,-15.903565970770467,-20.452433033564695,0.18614682657636444
acs_income_al_2018,0.2517587187546774,2.37823398545859,-2.341217914686358,0.12928163808718632
acs_income_or_2018,0.35346715328467154,-2.5808058428478713,-3.1358136409991957,0.0965989189028866
acs_income_ut_2018,0.30669114647082824,3.067656838042498,-13.396122563766792,0.22006651853129894
acs_income_ms_2018,0.19454131918119785,-5.2553818093849145,-6.575978111382872,0.09836051501268724
acs_income_wv_2018,0.2211435623200329,13.209518300056754,-4.664635921780301,0.11360204282599981
acs_income_nm_2018,0.2449885233358837,3.6737629385385278,-1.632034592723689,0.06846732784694373
acs_income_nd_2018,0.34166043380703065,6.920830277459854,-3.364164575330142,0.15206414332164947
acs_income_vt_2018,0.2976127320954907,5.959236923224989,0.28862554059448753,0.01245400615754294
acs_income_wy_2018,0.3521739130434783,-1.2827867448703258,-8.413703099676354,0.15621634188812814
acs_income_ky_2018,0.26031505604362315,-1.9591816247486826,-1.5943651589775842,0.0819926753506203
acs_income_sc_2018,0.2557877813504823,8.947384840807425,-3.376219568409475,0.09728525140178321
acs_income_ct_2018,0.5078840970350404,-3.7904074311317686,0.5588629340526562,0.10039047353133564
hmda_ms_2018_race,0.8080401449679399,0.7067602925037791,4.256037793931499,0.17741600860519288
hmda_la_2018_race,0.7936296185265682,-0.055933698764417714,2.246370990112247,0.20212600641107628
compas_2016_race,0.5825757575757575,-6.141844221133902,20.004614653823396,0.24811862780476365
dutch_2001_sex,0.4370517488690279,-1.9036769332497072,0.8767336240836127,0.18583420155113353
lawschool_race,0.9537179487179487,2.5572630723542598,3.808161395722633,0.19092496066089693
