dataset,void,r,spread,n_kept,d1,band_low,band_high,d3
acs_income_al_2018,False,-0.3680785712548463,21.023453685928008,11,True,,,
acs_income_ky_2018,False,-0.6540361146388143,2.6338950360253994,10,True,,,
acs_income_sc_2018,False,0.9047310539337594,6.122576277739849,11,True,0.5048499464094319,0.5541800643086816,
acs_income_or_2018,False,0.6640750936356594,5.914266289097343,10,True,0.5276155717761557,0.5887165450121654,True
dutch_2001_sex,False,0.9460424717132555,59.85972519545943,9,True,0.5339291625289639,0.6179079774908971,
compas_2016_race,False,0.8443400485450555,107.121850374015,12,True,0.47361111111111115,0.5492424242424242,True
