n,populations,rule,constant,purpose,survey,floor,rate_lo,rate_hi,down_calls,scoring
8,5,7,7,6,7,6,0.6815813953488373,0.9366062623274163,0,guarded
13,7,10,10,9,10,10,0.6815813953488373,0.9500654249839918,0,unguarded
