population,acc_plain,acc_floor,exchange_plain,exchange_floor,pool_plain,pool_floor
acs_income_ny_2018,0.6995953814270207,0.6989440442119805,2.5216963258238203,0.7951367126475651,-7.878984997433207,3.3993700834074554
acs_income_oh_2018,0.7516750283217349,0.7532124939310567,1.8086397370029927,0.8695599116952406,-7.8386617390134985,2.027784133198689
acs_income_pa_2018,0.7723402646502836,0.7718109640831757,1.6571385135578853,1.011076968984139,-5.298728629307677,-0.05083930811042577
acs_income_al_2018,0.7998465187665691,0.7996651318543323,1.1055102957549312,0.7356749556091744,-0.5605818313056123,2.270311872462342
acs_income_oh_2018,0.8070704808822706,0.8090298382130662,1.198875882585649,0.9522855530470549,-0.9157870425394922,0.2753820482285435
acs_income_pa_2018,0.8079287190082646,0.8084814049586775,1.4287902047913446,1.0030080136249047,-1.3689080640747289,-0.011105767182681272
acs_income_al_2014,0.7996658566221141,0.7992405832320778,1.3842679074157775,0.8709934349908008,-6.225957361838569,2.982523543163275
acs_income_al_2019,0.7750584795321638,0.7741228070175439,1.2608425688729725,0.7953312599636222,-3.5078723708032706,3.876725409321067
acs_income_al_2022,0.7635858234885337,0.7633356497567756,0.8859044754025052,0.8638961560566625,1.1954926895080897,1.4322806330234588
acs_income_al_2022,0.7789020152883948,0.7779847116052814,0.9713985455081744,0.8955251190982068,0.4192624536647642,1.674819992640861
acs_income_al_2022,0.7874357192494787,0.7873523280055593,1.0596118011242086,0.8104697622266237,-0.8691895540646977,4.05258022291121
acs_income_ar_2018,0.8003350083752092,0.7997607083034218,1.2018497730165063,0.7027949380040356,-2.547292853757129,5.727939073981308
acs_income_ar_2018,0.7741086384302465,0.7705671213208902,1.8647924158221643,0.9964824836968594,-14.160962679884932,0.268953512447996
acs_income_ar_2019,0.7784971644612476,0.7818998109640831,1.2080549599456494,0.7777753551965649,-2.776178164678489,4.462448213836882
acs_income_ar_2019,0.7606805293005671,0.7568998109640832,1.8188706896193527,0.8791519564677459,-12.229353428501321,2.948099681706487
acs_income_az_2014,0.8491067538126362,0.850174291938998,1.9814317635652288,0.7941203017655697,-14.621642107018502,5.770174875515648
acs_income_az_2019,0.780729471425785,0.7806124439243222,0.8422029869788752,0.8465000800021274,1.7012008794022726,1.6545800824763024
acs_income_ca_2018,0.7952674616695059,0.7945996592844974,1.427162138058464,0.9756959889354663,-2.380225232088998,0.1649184576416649
acs_income_ca_2019,0.789708915108692,0.7892017985733122,1.432175905544985,1.028487771085414,-2.2537865044110577,-0.17143971650440298
acs_income_co_2018,0.8029386712095402,0.803449744463373,0.8274972819383221,0.8257122683928687,0.6320148627277463,0.6322042601882586
acs_income_fl_2014,0.8003791192767571,0.8011227763196269,1.1026220937617466,0.936993041676683,-1.5847012242450835,1.1284702490922296
acs_income_fl_2014,0.8007072032662584,0.8008311461067367,1.6417344362881288,0.980005112980804,-5.5141040173375195,0.22488805455609895
acs_income_fl_2018,0.7802749511422602,0.7808747220163085,0.97859644320695,0.9324031541995013,0.3213998704580995,1.05370056905353
acs_income_fl_2018,0.7822966507177034,0.7828222926073186,1.5640584115188036,0.8466844031212272,-4.050236445281966,1.5612038052598103
acs_income_ga_2014,0.8512988399402179,0.8502028325386094,1.6537878187627324,0.933125910241472,-13.298105966929715,1.9651365245972727
acs_income_ia_2014,0.7889340297929966,0.7857225769007545,1.418844724440524,0.9804965760833225,-6.709729513065163,0.6273169155501441
acs_income_ia_2019,0.7576995838062808,0.7558834657586077,1.563965626582195,0.9249329353549467,-5.453273605996166,1.2683929800233888
acs_income_il_2018,0.7711713504103457,0.7708331260880378,1.0885689928953837,0.8724863814206101,-0.8463852495439094,1.6970582363943953
acs_income_il_2018,0.7737080328276547,0.7742253170853022,1.6688972845426064,0.8925169882761731,-4.561989226793335,1.0653646214843584
acs_income_il_2019,0.7675211949939443,0.7650888171174809,1.7676668425719921,0.8338042201499014,-4.220467859877317,1.8379569834234206
acs_income_in_2014,0.7692774623066378,0.7683179949089485,1.0634592497177193,0.805322767380334,-0.4566116345307254,1.771733282911704
acs_income_in_2018,0.8544208622822879,0.8545731417150471,2.5576847898494037,0.7502879219809977,-23.321065737247572,8.73606803851597
acs_income_ks_2018,0.7921568627450981,0.789584651064727,2.0810062908377516,0.9938717087546672,-6.627937944936397,0.24134431984846866
acs_income_ks_2018,0.8371494834492937,0.8372338182584862,0.7036507936507936,0.701999863573949,0.5824721108177404,0.571099090778581
acs_income_ks_2019,0.7710004221190376,0.7696496411988181,1.2572520761486277,0.767153321852023,-2.8785964740215912,4.04121551730198
acs_income_ky_2014,0.8039318885448916,0.8051083591331268,1.151729852798345,0.7173066975989395,-2.094442977345294,5.800900413250494
acs_income_ky_2014,0.8172136222910217,0.8177708978328173,0.6377357651355433,0.6365220028909647,1.074197680513544,1.0321250821619752
acs_income_ky_2018,0.7762799151772191,0.7714934868221751,1.7815343681013789,0.7874855346425466,-7.722405965866585,3.850746488727039
