arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7248,0.0194,0.0154,0.6001,309.2,,,,
expgrad_dp,0.7233,0.0155,0.0151,0.6762,308.8,-0.1162,0.0533,0.7492,1.0335
expgrad_dp_floor,0.7237,0.0153,0.0155,0.68,309.8,0.2056,0.0409,0.8006,0.9312
