method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.1065,0.0135,0.093,0.1261,0.8748,1.5184,-3.2637
expgrad_eo,0.0607,0.0064,0.0543,0.1416,0.9105,1.4074,-1.4699
gridsearch_dp,0.1334,0.0172,0.1163,0.1432,0.8868,1.5557,-4.1679
prejudice_remover,0.1603,-0.0025,0.1628,-0.0308,0.5264,0.5304,2.9618
adversarial_debiasing,0.0284,0.0594,-0.031,1.2652,1.0,3.9189,-20.2136
