seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.32742537313432835,0.7565217391304347,0.2005371063631921,0.11305676855895197,0.5622203347696386,335,,,,,,,
0,expgrad_dp,0.32742537313432835,0.7326086956521739,0.048069121603347864,0.16724890829694317,0.8625391785728824,301,0.15246798475984424,0.7108669944606957,0.6941176470588235,2.0625,59.0,26.0,-10.149253731343284
0,expgrad_dp_floor,0.32742537313432835,0.7434782608695653,0.05267153478617759,0.1661135371179039,0.8629979760082934,331,0.14786557157701452,0.49788217173661925,0.5641025641025641,1.0952380952380953,44.0,34.0,-1.1940298507462686
1,baseline,0.32649253731343286,0.7402173913043478,0.12538491831902793,0.07502183406113538,0.6964691828811651,326,,,,,,,
1,expgrad_dp,0.32649253731343286,0.7108695652173913,0.02586366418515934,0.18655021834061142,1.0826622992584505,299,0.15124858250418727,0.6625152931580762,0.59,1.5294117647058822,59.0,41.0,-8.282208588957054
1,expgrad_dp_floor,0.32649253731343286,0.7086956521739131,0.02126125100232973,0.16851528384279468,1.0611573631772897,329,0.14664616932135766,0.446241951661436,0.5,0.9545454545454546,49.0,49.0,0.9202453987730062
2,baseline,0.32322761194029853,0.7434782608695653,0.14272700098216445,0.07755458515283842,0.6475075581804121,311,,,,,,,
2,expgrad_dp,0.32322761194029853,0.7108695652173913,0.009190592098083594,0.18585152838427949,1.0314279687829573,273,0.15191759308024805,0.7403647948029233,0.6813186813186813,2.0555555555555554,62.0,29.0,-12.218649517684888
2,expgrad_dp_floor,0.32322761194029853,0.7043478260869566,0.005964158114244222,0.09828026957936323,1.017675595865851,313,0.14869115909640868,0.4538579360520774,0.5176470588235295,0.9615384615384616,44.0,41.0,0.6430868167202572
3,baseline,0.32276119402985076,0.7521739130434782,0.16400248625206987,0.08938864628820964,0.608794069379209,315,,,,,,,
3,expgrad_dp,0.32276119402985076,0.7228260869565217,0.012753903747882656,0.1434497816593887,0.9600214170979832,288,0.1512485825041872,0.6625152931580764,0.6590909090909091,1.6923076923076923,58.0,30.0,-8.571428571428571
3,expgrad_dp_floor,0.32276119402985076,0.7195652173913043,0.033872812074454695,0.11851528384279475,0.9036988075325096,309,0.13012967417761517,0.5185954933274995,0.5853658536585366,1.1224489795918366,48.0,34.0,-1.9047619047619047
4,baseline,0.34421641791044777,0.7695652173913043,0.13812458779933479,0.04069254008831048,0.6268346771609132,281,,,,,,,
4,expgrad_dp,0.34421641791044777,0.7260869565217392,0.04755668797062046,0.11218340611353711,0.8509280742459397,273,0.09056789982871433,0.5644907795473595,0.5714285714285714,1.2105263157894737,36.0,27.0,-2.8469750889679717
4,expgrad_dp_floor,0.34421641791044777,0.7391304347826086,0.05624908070355239,0.11668122270742365,0.8428239973483593,305,0.0818755070957824,0.14986091794158532,0.46153846153846156,0.5932203389830508,30.0,35.0,8.540925266903914
