arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.8013,0.0853,0.0153,0.8742,4189.6,,,,
expgrad_dp,0.7885,0.0089,0.0823,0.9864,4242.4,1.2597,0.376,0.4454,0.7856
expgrad_dp_floor,0.7886,0.0085,0.0833,0.987,4248.6,1.408,0.3634,0.4381,0.7624
